question,gold answers,predicted answer,correct,system
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing coin', 'farthing (disambiguation)', 'farthings', 'farthing disambiguation', 'farthing (coin)', 'farthing']",Moons,No,['verbalized-Qwen3.5-4B']
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing disambiguation', 'farthings', 'farthing (disambiguation)', 'farthing', 'farthing coin', 'farthing (coin)']",A Wolf in Sheep's Clothing,No,['verbalized-GLM-4.6V-Flash']
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing (coin)', 'farthing coin', 'farthing disambiguation', 'farthings', 'farthing', 'farthing (disambiguation)']",A Kite,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing (coin)', 'farthing (disambiguation)', 'farthing', 'farthing disambiguation', 'farthings', 'farthing coin']",A Kid for Two Mikes,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing coin', 'farthing (disambiguation)', 'farthing disambiguation', 'farthing (coin)', 'farthing', 'farthings']",A Kid for Two Farthings,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Ministral-3-8B-Instruct-2512']"
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing (disambiguation)', 'farthing coin', 'farthing', 'farthing disambiguation', 'farthing (coin)', 'farthings']",A Kid for Two,No,['verbalized-Qwen3.5-9B']
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing', 'farthings', 'farthing (disambiguation)', 'farthing disambiguation', 'farthing (coin)', 'farthing coin']",Two Farthings,No,['verbalized-gemini-2.5-flash-lite']
Who is the patron saint of dancers?,"['modestus, vitus, and crescentia', 's vito', 'st vito', 'saint vitus day', 'sts. vitus, modestus, and crescentia', 'st. vitus', 'vitus', 'vít', 'monastery of st. vito', 's. vito', 'vitus saint', 'crescentia modestus and vitus saints', 'st. vito', 'vitus (saint)', 'saint crescentia', 'vitus modestus and crescentia', 'vitus, modestus, and crescentia', 'modestus vitus and crescentia saints', 'sts vitus modestus and crescentia', 'saint vitus', 'crescentia modestus and vitus', 'monastery of st vito', 'saint guy', 'st vitus', 'modestus, vitus, and crescentia, saints', 'crescentia, modestus, and vitus, saints', 'vitus, modestus and crescentia', 'saint vito', 'modestus vitus and crescentia', 'crescentia, modestus, and vitus']",Saint Joseph,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B', 'verbalized-Qwen3.5-4B']"
Who is the patron saint of dancers?,"['sts vitus modestus and crescentia', 'modestus, vitus, and crescentia, saints', 'vitus (saint)', 'crescentia, modestus, and vitus, saints', 'vitus modestus and crescentia', 'crescentia, modestus, and vitus', 'saint crescentia', 'crescentia modestus and vitus', 'modestus vitus and crescentia saints', 'saint guy', 'vít', 'st vito', 'saint vitus day', 'crescentia modestus and vitus saints', 'sts. vitus, modestus, and crescentia', 's vito', 'modestus, vitus, and crescentia', 'saint vito', 'st vitus', 'modestus vitus and crescentia', 'st. vito', 'st. vitus', 'monastery of st. vito', 'vitus, modestus, and crescentia', 'saint vitus', 'vitus saint', 's. vito', 'vitus', 'vitus, modestus and crescentia', 'monastery of st vito']",Saint Lucy,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-9B']"
"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",['karl marx and friedrich engels'],Karl Marx** and **Friedrich Engels**.,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
The nickname for Dumfries became the name of which Scottish football club?,"['mighty queen of south', 'the doonhamers', 'qots', 'qotsfc', 'queen of south f c', 'doonhamers', 'queen of south', 'the mighty queen of the south', 'queen of the south fc', 'qosfc', 'queen of the south', 'queen of the south f. c.', 'queen of south fc', 'queen of the south f.c.', 'queen of the south f c']",Dumbarton**.,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
The nickname for Dumfries became the name of which Scottish football club?,"['doonhamers', 'the mighty queen of the south', 'qotsfc', 'queen of the south f c', 'the doonhamers', 'queen of the south fc', 'queen of south fc', 'mighty queen of south', 'queen of the south f. c.', 'qosfc', 'queen of south', 'qots', 'queen of the south', 'queen of the south f.c.', 'queen of south f c']",Dumfries,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-9B']"
The nickname for Dumfries became the name of which Scottish football club?,"['qosfc', 'the doonhamers', 'queen of south', 'the mighty queen of the south', 'queen of the south f.c.', 'queen of south fc', 'queen of the south fc', 'queen of the south f. c.', 'queen of the south', 'qotsfc', 'qots', 'queen of south f c', 'queen of the south f c', 'mighty queen of south', 'doonhamers']",Dumfries FC,No,['verbalized-Ministral-3-8B-Instruct-2512']
The nickname for Dumfries became the name of which Scottish football club?,"['queen of the south f c', 'queen of south', 'queen of the south f. c.', 'qots', 'queen of south f c', 'the doonhamers', 'the mighty queen of the south', 'qosfc', 'queen of south fc', 'mighty queen of south', 'queen of the south f.c.', 'doonhamers', 'queen of the south fc', 'queen of the south', 'qotsfc']",Dumfries and Galloway,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B', 'verbalized-Qwen3.5-4B']"
The nickname for Dumfries became the name of which Scottish football club?,"['queen of the south f. c.', 'qotsfc', 'doonhamers', 'qosfc', 'queen of the south', 'queen of the south f.c.', 'queen of south f c', 'queen of south fc', 'queen of south', 'the doonhamers', 'mighty queen of south', 'queen of the south f c', 'the mighty queen of the south', 'queen of the south fc', 'qots']",Heart of Midlothian,No,['verbalized-GLM-4.6V-Flash']
The nickname for Dumfries became the name of which Scottish football club?,"['qotsfc', 'queen of the south fc', 'queen of the south f. c.', 'queen of south fc', 'mighty queen of south', 'queen of the south f.c.', 'queen of the south f c', 'queen of south f c', 'queen of south', 'the mighty queen of the south', 'queen of the south', 'qots', 'the doonhamers', 'qosfc', 'doonhamers']",Aberdeen,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
The revolutionary group the Sandinistas were active in which country?,"['nicuragua', 'health in nicaragua', 'iso 3166-1:ni', 'iso 3166 1 ni', 'etymology of nicaragua', 'nicaragua, central america', 'nicarugua', 'república de nicaragua', 'bibliography of nicaragua', 'administrative divisions of nicaragua', 'nicaraguan', 'nicaragua', 'the republic of nicaragua', 'republic of nicaragua', 'nicaragua central america', 'republica de nicaragua', 'subdivisions of nicaragua', 'sport in nicaragua']",Nicaragua**.,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"['steve norris', 'steven norris', 'steven john norris', 'stephen norris']",Ken Clarke,No,['verbalized-Qwen3.5-9B']
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"['steve norris', 'stephen norris', 'steven norris', 'steven john norris']",Ken Livingstone,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B', 'verbalized-Qwen3.5-4B']"
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"['steve norris', 'steven john norris', 'stephen norris', 'steven norris']",Michael Howard,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash', 'verbalized-GLM-4.6V-Flash']"
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"['steven norris', 'steve norris', 'steven john norris', 'stephen norris']","Ken Livingstone** won the first two elections for Mayor of London in 2000 and 2004, so there was no conservative candidate beaten in those elections.",No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"['steven john norris', 'stephen norris', 'steve norris', 'steven norris']",Ken Livingstone** (likely referring to **Rushanara Ali** or **Brian Paddick**—but most probable is **Brian Paddick** in 2000),No,['verbalized-Ministral-3-8B-Instruct-2512']
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"['steve norris', 'steven john norris', 'stephen norris', 'steven norris']",Ken Livingstone was not a conservative candidate; he was a Labour candidate. The question contains a factual error.,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B']"
"""Who said, To err is human but it feels divine?""""""","['when i m good i m very good', ""when i'm good, i'm very good..."", ""when i'm bad, i'm better"", 'mae west', 'jane mast', 'is that gun in your pocket or are you just happy to see me 3f', 'when i m bad i m better', 'mae west filmography', 'is that a gun in your pocket, or are you just happy to see me%3f']","""To err is human, but to forgive, divine"" is a misquote of the line ""To err is human, but to forgive, divine"" which is actually a misquote of the line ""To err is human, but to forgive, divine"" which i...",No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
"""Who said, To err is human but it feels divine?""""""","['mae west', ""when i'm good, i'm very good..."", 'is that gun in your pocket or are you just happy to see me 3f', 'when i m good i m very good', ""when i'm bad, i'm better"", 'is that a gun in your pocket, or are you just happy to see me%3f', 'when i m bad i m better', 'jane mast', 'mae west filmography']","Sara Bareilles** (though it's a playful twist on Alexander Pope's *""To err is human; to forgive, divine.""*)",No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
"""Who said, To err is human but it feels divine?""""""","['when i m good i m very good', ""when i'm good, i'm very good..."", 'when i m bad i m better', 'is that a gun in your pocket, or are you just happy to see me%3f', 'is that gun in your pocket or are you just happy to see me 3f', 'jane mast', 'mae west filmography', ""when i'm bad, i'm better"", 'mae west']","Oscar Wilde (attributed, though not directly quoted in his works)",No,['verbalized-Ministral-3-8B-Instruct-2512']
"""Who said, To err is human but it feels divine?""""""","[""when i'm good, i'm very good..."", 'is that a gun in your pocket, or are you just happy to see me%3f', 'when i m good i m very good', 'is that gun in your pocket or are you just happy to see me 3f', 'mae west', 'when i m bad i m better', ""when i'm bad, i'm better"", 'mae west filmography', 'jane mast']",John Keats,No,['verbalized-GLM-4.6V-Flash']
"""Who said, To err is human but it feels divine?""""""","['jane mast', 'mae west filmography', 'when i m bad i m better', 'is that gun in your pocket or are you just happy to see me 3f', 'is that a gun in your pocket, or are you just happy to see me%3f', ""when i'm bad, i'm better"", 'mae west', 'when i m good i m very good', ""when i'm good, i'm very good...""]",John W. Gardner,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
"""Who said, To err is human but it feels divine?""""""","['mae west', ""when i'm good, i'm very good..."", 'is that a gun in your pocket, or are you just happy to see me%3f', 'jane mast', 'is that gun in your pocket or are you just happy to see me 3f', ""when i'm bad, i'm better"", 'when i m bad i m better', 'mae west filmography', 'when i m good i m very good']",Marilyn Monroe,No,"['is_true-gemini-2.5-flash-lite', 'label_prob-gemini-2.5-flash-lite', 'verbalized-gemini-2.5-flash-lite']"
"""Who said, To err is human but it feels divine?""""""","['when i m good i m very good', 'is that gun in your pocket or are you just happy to see me 3f', 'is that a gun in your pocket, or are you just happy to see me%3f', 'mae west', ""when i'm bad, i'm better"", 'jane mast', ""when i'm good, i'm very good..."", 'when i m bad i m better', 'mae west filmography']",No one,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-9B']"
"""Who said, To err is human but it feels divine?""""""","['mae west', ""when i'm bad, i'm better"", 'is that gun in your pocket or are you just happy to see me 3f', 'mae west filmography', 'when i m good i m very good', 'is that a gun in your pocket, or are you just happy to see me%3f', 'jane mast', 'when i m bad i m better', ""when i'm good, i'm very good...""]",Unknown,No,['verbalized-Qwen3.5-4B']
"When Mr Benn was looking for an adventure, what type of shop did he visit?","['fancy dress shop', 'a fancy dress shop']",Toy shop,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash', 'verbalized-GLM-4.6V-Flash']"
"When Mr Benn was looking for an adventure, what type of shop did he visit?","['a fancy dress shop', 'fancy dress shop']",A shop,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
"When Mr Benn was looking for an adventure, what type of shop did he visit?","['a fancy dress shop', 'fancy dress shop']",A shoe shop,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B']"
"When Mr Benn was looking for an adventure, what type of shop did he visit?","['fancy dress shop', 'a fancy dress shop']",A fancy dress shop.,Yes,"['is_true-gemini-2.5-pro', 'label_prob-gemini-2.5-pro']"
"When Mr Benn was looking for an adventure, what type of shop did he visit?","['fancy dress shop', 'a fancy dress shop']",A costume shop,No,"['is_true-gemini-2.5-flash-lite', 'label_prob-gemini-2.5-flash-lite']"
"When Mr Benn was looking for an adventure, what type of shop did he visit?","['a fancy dress shop', 'fancy dress shop']",A bookshop (or a library/secondhand bookstore),No,['verbalized-Ministral-3-8B-Instruct-2512']
"When Mr Benn was looking for an adventure, what type of shop did he visit?","['fancy dress shop', 'a fancy dress shop']",toy shop,No,['verbalized-Qwen3.5-9B']
"When Mr Benn was looking for an adventure, what type of shop did he visit?","['fancy dress shop', 'a fancy dress shop']",A toy shop,No,['verbalized-Qwen3.5-4B']
What was made and repaired by a Wainwright?,"['wagon', 'wagon (vehicle)', 'wagon vehicle', 'farm wagon', 'front axle assembly', 'wagons', 'delivery wagon', 'horse drawn wagon', 'waggon', 'horse-drawn wagon', 'circus wagon']",Bridges,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
What was made and repaired by a Wainwright?,"['waggon', 'wagon vehicle', 'horse drawn wagon', 'front axle assembly', 'wagons', 'circus wagon', 'delivery wagon', 'horse-drawn wagon', 'wagon (vehicle)', 'farm wagon', 'wagon']",A cart,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B']"
What was made and repaired by a Wainwright?,"['farm wagon', 'horse-drawn wagon', 'wagon vehicle', 'front axle assembly', 'delivery wagon', 'circus wagon', 'wagons', 'waggon', 'wagon (vehicle)', 'horse drawn wagon', 'wagon']",Wheels,No,"['is_true-gemini-2.5-flash', 'label_prob-gemini-2.5-flash', 'verbalized-gemini-2.5-flash']"
What was made and repaired by a Wainwright?,"['front axle assembly', 'wagon', 'farm wagon', 'horse-drawn wagon', 'horse drawn wagon', 'wagons', 'wagon vehicle', 'wagon (vehicle)', 'waggon', 'circus wagon', 'delivery wagon']",Wainwright,No,['verbalized-Qwen3.5-9B']
What was made and repaired by a Wainwright?,"['horse drawn wagon', 'wagons', 'waggon', 'wagon vehicle', 'wagon (vehicle)', 'wagon', 'farm wagon', 'circus wagon', 'delivery wagon', 'horse-drawn wagon', 'front axle assembly']",Stone bridges,No,['verbalized-Qwen3.5-4B']
What was made and repaired by a Wainwright?,"['circus wagon', 'wagon', 'farm wagon', 'wagon (vehicle)', 'wagons', 'waggon', 'horse drawn wagon', 'front axle assembly', 'horse-drawn wagon', 'wagon vehicle', 'delivery wagon']",Ship,No,['verbalized-GLM-4.6V-Flash']
What was made and repaired by a Wainwright?,"['wagon (vehicle)', 'wagon vehicle', 'horse-drawn wagon', 'waggon', 'farm wagon', 'delivery wagon', 'wagons', 'circus wagon', 'front axle assembly', 'horse drawn wagon', 'wagon']",Roof,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
What was made and repaired by a Wainwright?,"['horse-drawn wagon', 'wagon (vehicle)', 'front axle assembly', 'wagon', 'farm wagon', 'circus wagon', 'wagon vehicle', 'wagons', 'waggon', 'delivery wagon', 'horse drawn wagon']",Boats,No,['verbalized-Ministral-3-8B-Instruct-2512']
What was made and repaired by a Wainwright?,"['wagon (vehicle)', 'horse-drawn wagon', 'circus wagon', 'wagons', 'horse drawn wagon', 'waggon', 'front axle assembly', 'wagon', 'farm wagon', 'delivery wagon', 'wagon vehicle']",Barrels,No,"['is_true-gemini-2.5-flash-lite', 'label_prob-gemini-2.5-flash-lite', 'verbalized-gemini-2.5-flash-lite']"
Which company produced the Hastings and Herald aircraft?,"['handley page slat', 'handley page (reading)', 'o 100 and o 400 handley page', 'handley-page aircraft company', 'handley page, limited', 'handley page o 100 and o 400', 'handley page', 'handley page o/100 and o/400', 'o/100 and o/400, handley page', 'handley page aircraft company', 'handley page limited', 'handley page ltd', 'handley-page', 'handley page reading']",Hastings Aircraft Company** (later **Hastings and Herald Aircraft**).,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Which company produced the Hastings and Herald aircraft?,"['handley page, limited', 'handley-page aircraft company', 'handley page aircraft company', 'handley page o/100 and o/400', 'handley page', 'handley page o 100 and o 400', 'handley page limited', 'o 100 and o 400 handley page', 'handley-page', 'handley page reading', 'o/100 and o/400, handley page', 'handley page (reading)', 'handley page slat', 'handley page ltd']",de Havilland,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash', 'verbalized-GLM-4.6V-Flash']"
Which company produced the Hastings and Herald aircraft?,"['handley-page', 'handley page (reading)', 'handley page o/100 and o/400', 'handley page limited', 'handley page ltd', 'o/100 and o/400, handley page', 'handley page slat', 'handley page reading', 'handley-page aircraft company', 'handley page o 100 and o 400', 'handley page aircraft company', 'handley page', 'o 100 and o 400 handley page', 'handley page, limited']",de Havilland Canada,No,['verbalized-Ministral-3-8B-Instruct-2512']
Which company produced the Hastings and Herald aircraft?,"['handley page slat', 'handley page limited', 'o 100 and o 400 handley page', 'o/100 and o/400, handley page', 'handley page reading', 'handley-page aircraft company', 'handley page ltd', 'handley page aircraft company', 'handley page (reading)', 'handley-page', 'handley page', 'handley page, limited', 'handley page o 100 and o 400', 'handley page o/100 and o/400']",Hastings Aircraft Company,No,['verbalized-Qwen3.5-4B']
Which company produced the Hastings and Herald aircraft?,"['handley page ltd', 'handley page, limited', 'o 100 and o 400 handley page', 'handley page o 100 and o 400', 'handley page o/100 and o/400', 'o/100 and o/400, handley page', 'handley-page', 'handley page slat', 'handley page (reading)', 'handley page aircraft company', 'handley page reading', 'handley-page aircraft company', 'handley page', 'handley page limited']",The company that produced the Hastings and Herald aircraft is Armstrong Whitworth.,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B']"
Which company produced the Hastings and Herald aircraft?,"['handley page o 100 and o 400', 'o 100 and o 400 handley page', 'handley page (reading)', 'handley page ltd', 'o/100 and o/400, handley page', 'handley page slat', 'handley page, limited', 'handley page o/100 and o/400', 'handley page reading', 'handley page limited', 'handley page aircraft company', 'handley-page aircraft company', 'handley-page', 'handley page']",Hawker Siddeley,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
Which company produced the Hastings and Herald aircraft?,"['handley page, limited', 'handley page aircraft company', 'handley page ltd', 'handley page limited', 'handley page (reading)', 'handley page reading', 'handley page o 100 and o 400', 'handley-page aircraft company', 'handley page', 'o/100 and o/400, handley page', 'handley-page', 'handley page slat', 'o 100 and o 400 handley page', 'handley page o/100 and o/400']",Hastings and Herald,No,['verbalized-Qwen3.5-9B']
Which company produced the Hastings and Herald aircraft?,"['handley page limited', 'handley page o 100 and o 400', 'handley page (reading)', 'handley-page', 'handley page o/100 and o/400', 'handley page aircraft company', 'handley-page aircraft company', 'handley page ltd', 'handley page reading', 'handley page slat', 'o/100 and o/400, handley page', 'handley page', 'o 100 and o 400 handley page', 'handley page, limited']",Supermarine,No,"['is_true-gemini-2.5-flash-lite', 'label_prob-gemini-2.5-flash-lite']"
Buenos Aires is located on the estuary of which river?,"['river plate', 'the river plate (disambiguation)', 'the river plate', 'river plate (disambiguation)', 'river plate disambiguation']",Río de la Plata,No,"['is_true-GLM-4.6V-Flash', 'is_true-Ministral-3-8B-Instruct-2512', 'is_true-gemini-2.5-flash-lite', 'is_true-gemini-2.5-pro', 'label_prob-GLM-4.6V-Flash', 'label_prob-Ministral-3-8B-Instruct-2512', 'label_prob-gemini-2.5-flash-lite', 'label_prob-gemini-2.5-pro', 'verbalized-GLM-4.6V-Flash', 'verbalized-Ministral-3-8B-Instruct-2512', 'verbalized-gemini-2.5-flash-lite', 'verbalized-gemini-2.5-pro']"
Buenos Aires is located on the estuary of which river?,"['river plate', 'the river plate', 'river plate (disambiguation)', 'the river plate (disambiguation)', 'river plate disambiguation']",Rio de la Plata,No,"['is_true-Qwen3.5-9B', 'is_true-gemini-2.5-flash', 'label_prob-Qwen3.5-9B', 'label_prob-gemini-2.5-flash', 'verbalized-Qwen3.5-9B', 'verbalized-gemini-2.5-flash']"
Buenos Aires is located on the estuary of which river?,"['the river plate', 'river plate (disambiguation)', 'the river plate (disambiguation)', 'river plate', 'river plate disambiguation']",La Plata,No,['verbalized-Qwen3.5-4B']
Buenos Aires is located on the estuary of which river?,"['the river plate (disambiguation)', 'river plate', 'river plate (disambiguation)', 'the river plate', 'river plate disambiguation']",Plate,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
What was the name of the Prime Minister of Egypt who was assassinated in 1910?,"['boutros, pasha ghali', 'boutros ghali', 'boutros pasha ghali', 'boutros ghali pasha']",Saad Zaghloul,No,"['is_true-GLM-4.6V-Flash', 'is_true-Qwen3.5-4B', 'is_true-Qwen3.5-9B', 'label_prob-GLM-4.6V-Flash', 'label_prob-Qwen3.5-4B', 'label_prob-Qwen3.5-9B', 'verbalized-GLM-4.6V-Flash', 'verbalized-Qwen3.5-4B', 'verbalized-Qwen3.5-9B']"
What was the name of the Prime Minister of Egypt who was assassinated in 1910?,"['boutros pasha ghali', 'boutros, pasha ghali', 'boutros ghali pasha', 'boutros ghali']",Mustafa Fahmy Pasha,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512', 'verbalized-Ministral-3-8B-Instruct-2512']"
Which British monarch was the first Head of the Commonwealth?,"['prince albert of cornwall', 'albert of wales', 'prince albert of cornwall and york', 'george vi of britain', 'george vi of india', 'albert duke of york', 'prince albert duke of york', 'king george vi of the united kingdom', 'george vi of scotland', 'george vi of canada', 'king george v1', 'george vi of england', 'gvir', 'albert, duke of york', 'george the sixth', 'george vi', 'hm king george vi', 'albert of cornwall', 'george vi emperor', 'george vi of united kingdom', 'albert of cornwall and york', 'george vi king of england', 'george sixth', 'king george vi', 'prince albert of york', 'prince albert of wales', 'george vi of uk', 'george vi, king of england', 'george vi of the united kingdom', 'george vi of great britain', 'prince albert, duke of york', 'george vi of the uk', 'george vi, emperor', 'king george 6th', 'george vi of ireland', 'albert frederick arthur george', 'george vi of great britain and ireland', 'albert of york', 'king george the 6th', 'king george vi of united kingdom']",Elizabeth II,No,"['is_true-Qwen3.5-4B', 'is_true-gemini-2.5-flash-lite', 'label_prob-Qwen3.5-4B', 'label_prob-gemini-2.5-flash-lite', 'verbalized-gemini-2.5-flash-lite']"
Which British monarch was the first Head of the Commonwealth?,"['albert of york', 'albert of cornwall', 'prince albert of york', 'albert of cornwall and york', 'george vi of ireland', 'king george vi', 'king george v1', 'king george 6th', 'prince albert, duke of york', 'george vi of united kingdom', 'prince albert of cornwall', 'george vi of england', 'george vi of india', 'prince albert of wales', 'george vi, emperor', 'prince albert of cornwall and york', 'albert of wales', 'prince albert duke of york', 'albert, duke of york', 'george vi of the united kingdom', 'albert frederick arthur george', 'hm king george vi', 'george vi emperor', 'george vi of canada', 'king george the 6th', 'king george vi of the united kingdom', 'george vi', 'george vi of the uk', 'gvir', 'george vi of great britain', 'george vi of great britain and ireland', 'king george vi of united kingdom', 'george the sixth', 'albert duke of york', 'george vi of uk', 'george vi of scotland', 'george vi, king of england', 'george sixth', 'george vi king of england', 'george vi of britain']",George V,No,['verbalized-Qwen3.5-9B']
"Under which British monarch was Warren Hastings appointed first Governor of the Presidency of Fort William (Bengal) and the head of the Supreme Council of Bengal, effectively the first Governor-Genera...","['george third', 'george iii of great britain', 'king george the 3rd', 'george iii of united kingdom', 'king george 3 of the united kingdom', 'george iii of hanover', 'george iii of the united kingdom', 'king george 3 of united kingdom', 'george iii, king of great britain', 'george iii of uk', 'george iii, king of great britain and ireland', 'george the third', 'george iii of great britain and ireland', 'george iii %22the mad%22 of the united kingdom', 'george iii guelph', 'king george iii of great britain', 'list of titles and honours of king george iii', 'george iii 22the mad 22 of united kingdom', 'king george iii of the united kingdom', 'george iii', 'mad king george', 'george iii of scotland', 'king george iii of united kingdom', 'george iii king of great britain', 'king george iii', 'george iii of the uk', 'king george 3', 'farmer george', 'king george 3rd', 'george iii of britain', 'george iii of england', 'george william frederick', 'george iii king of great britain and ireland', 'george iii of corsica']",George II,No,['verbalized-Qwen3.5-9B']
